SRR13443687	SRR13443687.bam.CGmap.gz
SRR13443688	SRR13443688.bam.CGmap.gz
SRR1569252	SRR1569252.bam.CGmap.gz
SRR1569253	SRR1569253.bam.CGmap.gz
SRR24421255	SRR24421255.bam.CGmap.gz
SRR24421259	SRR24421259.bam.CGmap.gz
SRR24476325	SRR24476325.bam.CGmap.gz
SRR24476326	SRR24476326.bam.CGmap.gz
SRR5239972	SRR5239972.bam.CGmap.gz
SRR5239973	SRR5239973.bam.CGmap.gz
SRR5239984	SRR5239984.bam.CGmap.gz
SRR5239985	SRR5239985.bam.CGmap.gz
SRR5277784	SRR5277784.bam.CGmap.gz
SRR5277785	SRR5277785.bam.CGmap.gz
SRR5320832	SRR5320832.bam.CGmap.gz
SRR5320833	SRR5320833.bam.CGmap.gz
SRR6675996	SRR6675996.bam.CGmap.gz
SRR6675997	SRR6675997.bam.CGmap.gz
SRR7346214	SRR7346214.bam.CGmap.gz
SRR7346216	SRR7346216.bam.CGmap.gz
