V1	V2	V3	V4		
GSM1925059	FRiP	score:	0.859325145		85.9325145
GSM1925532	FRiP	score:	0.841477048		84.14770478
GSM1925892	FRiP	score:	0.83081241		83.081241
GSM1925018	FRiP	score:	0.824024029		82.40240286
GSM1925069	FRiP	score:	0.820511733		82.0511733
GSM4074090	FRiP	score:	0.819883597		81.98835973
GSM1925658	FRiP	score:	0.815028373		81.50283734
GSM1925836	FRiP	score:	0.8009623		80.09622999
GSM1925700	FRiP	score:	0.795442398		79.54423977
GSM4074089	FRiP	score:	0.75371223		75.37122296
GSM4074091	FRiP	score:	0.740520589		74.05205893
GSM1925661	FRiP	score:	0.735497962		73.54979618
GSM4074133	FRiP	score:	0.704687214		70.46872136
GSM1925061	FRiP	score:	0.69284005		69.284005
GSM1925860	FRiP	score:	0.680548934		68.05489341
GSM1925553	FRiP	score:	0.673770658		67.37706581
GSM1925856	FRiP	score:	0.67168586		67.168586
GSM1925427	FRiP	score:	0.662888367		66.28883675
GSM1925308	FRiP	score:	0.661459971		66.14599709
GSM1925555	FRiP	score:	0.660779481		66.07794809
GSM1925292	FRiP	score:	0.654660937		65.46609373
GSM1925596	FRiP	score:	0.648094114		64.80941136
GSM1925842	FRiP	score:	0.647576691		64.75766911
GSM1925506	FRiP	score:	0.634106332		63.41063316
GSM1925841	FRiP	score:	0.632519866		63.25198662
GSM1925902	FRiP	score:	0.630149478		63.01494777
GSM1925749	FRiP	score:	0.629827122		62.9827122
GSM4074093	FRiP	score:	0.628584743		62.85847432
GSM4074092	FRiP	score:	0.62757498		62.75749801
GSM1925861	FRiP	score:	0.625842242		62.58422418
GSM3671326	FRiP	score:	0.619608043		61.96080427
GSM1925384	FRiP	score:	0.619115261		61.91152611
GSM1925600	FRiP	score:	0.616115707		61.61157068
GSM1925607	FRiP	score:	0.612426327		61.24263265
GSM1400501	FRiP	score:	0.609221573		60.92215731
GSM1925912	FRiP	score:	0.600863273		60.08632726
GSM1925814	FRiP	score:	0.59190598		59.19059802
GSM1925297	FRiP	score:	0.585458996		58.5458996
GSM1925344	FRiP	score:	0.585109043		58.51090433
GSM1925601	FRiP	score:	0.584355625		58.43556246
GSM3666095	FRiP	score:	0.578434078		57.84340776
GSM1925620	FRiP	score:	0.574449561		57.44495612
GSM958795	FRiP	score:	0.5735951		57.35951004
GSM3666093	FRiP	score:	0.572592094		57.25920942
GSM1925541	FRiP	score:	0.572464108		57.24641079
GSM1925060	FRiP	score:	0.571216103		57.12161031
GSM1184360	FRiP	score:	0.564656116		56.46561165
GSM1925033	FRiP	score:	0.563813737		56.38137374
GSM1925603	FRiP	score:	0.563319807		56.33198071
GSM1925871	FRiP	score:	0.560062443		56.00624431
GSM1925870	FRiP	score:	0.559667551		55.96675515
GSM1925908	FRiP	score:	0.559366314		55.93663139
GSM1925746	FRiP	score:	0.558909648		55.89096482
GSM1925809	FRiP	score:	0.55801323		55.80132304
GSM1925797	FRiP	score:	0.557994923		55.79949232
GSM1925674	FRiP	score:	0.556112765		55.61127646
GSM1925054	FRiP	score:	0.555197245		55.51972448
GSM3666094	FRiP	score:	0.554773343		55.47733428
GSM1925010	FRiP	score:	0.543119465		54.31194654
GSM1184361	FRiP	score:	0.542178439		54.21784391
GSM1925272	FRiP	score:	0.536711947		53.67119475
GSM1400502	FRiP	score:	0.533708077		53.37080766
GSM1925585	FRiP	score:	0.533628667		53.36286666
GSM1925744	FRiP	score:	0.532888471		53.28884708
GSM3523256	FRiP	score:	0.529424392		52.94243923
GSM1925314	FRiP	score:	0.527703851		52.77038514
GSM1925442	FRiP	score:	0.526048697		52.6048697
GSM1925556	FRiP	score:	0.525886312		52.58863123
GSM2130875	FRiP	score:	0.52562908		52.56290799
GSM1925064	FRiP	score:	0.518662787		51.86627873
GSM1925141	FRiP	score:	0.51601027		51.60102696
GSM1184362	FRiP	score:	0.515339532		51.53395324
GSM3523255	FRiP	score:	0.515225879		51.52258786
GSM1925832	FRiP	score:	0.513124612		51.31246119
GSM1925822	FRiP	score:	0.510716594		51.07165938
GSM1925898	FRiP	score:	0.509312094		50.93120937
GSM2130871	FRiP	score:	0.505452334		50.54523345
GSM1925779	FRiP	score:	0.50447517		50.44751699
GSM1925535	FRiP	score:	0.502409764		50.24097637
GSM1925628	FRiP	score:	0.500321223		50.03212231
GSM1925057	FRiP	score:	0.500277966		50.02779658
GSM1925023	FRiP	score:	0.498391963		49.83919634
GSM3874711	FRiP	score:	0.497495626		49.74956262
GSM1925639	FRiP	score:	0.497419884		49.74198845
GSM2130963	FRiP	score:	0.493549105		49.35491051
GSM1925840	FRiP	score:	0.491684092		49.16840917
GSM1925595	FRiP	score:	0.491572665		49.15726651
GSM1925513	FRiP	score:	0.4907341		49.07341004
GSM1925056	FRiP	score:	0.489768384		48.97683844
GSM1925509	FRiP	score:	0.488956281		48.89562815
GSM1925215	FRiP	score:	0.486827856		48.68278557
GSM1400503	FRiP	score:	0.485063689		48.50636892
GSM1925273	FRiP	score:	0.482119185		48.21191851
GSM1925522	FRiP	score:	0.48198707		48.19870703
GSM1925533	FRiP	score:	0.480852026		48.08520257
GSM2130873	FRiP	score:	0.480105883		48.01058834
GSM1925802	FRiP	score:	0.480097696		48.0097696
GSM1925526	FRiP	score:	0.479584411		47.95844109
GSM1925636	FRiP	score:	0.47931233		47.93123297
GSM1925599	FRiP	score:	0.477787279		47.77872794
GSM3671319	FRiP	score:	0.475379923		47.53799227
GSM2130949	FRiP	score:	0.475056799		47.50567989
GSM2130874	FRiP	score:	0.474372063		47.43720627
GSM1925741	FRiP	score:	0.473265711		47.32657115
GSM1925524	FRiP	score:	0.472764131		47.2764131
SRX6785017	FRiP	score:	0.47198128		47.19812796
GSM2130872	FRiP	score:	0.470347975		47.03479754
GSM1925913	FRiP	score:	0.467610894		46.76108936
GSM1925910	FRiP	score:	0.466218084		46.62180836
GSM3523257	FRiP	score:	0.464429247		46.44292467
GSM1925133	FRiP	score:	0.463325553		46.33255528
GSM2130977	FRiP	score:	0.461863768		46.18637677
GSM4485657	FRiP	score:	0.461843669		46.18436685
GSM1925838	FRiP	score:	0.461361569		46.1361569
GSM1848702	FRiP	score:	0.46076241		46.076241
GSM1925785	FRiP	score:	0.458734561		45.87345615
GSM1925738	FRiP	score:	0.457639727		45.76397266
GSM1925187	FRiP	score:	0.457398329		45.73983294
GSM1925514	FRiP	score:	0.457109632		45.71096323
GSM2130967	FRiP	score:	0.4567552		45.67552005
GSM1925531	FRiP	score:	0.456523409		45.65234088
GSM1925593	FRiP	score:	0.452939304		45.29393037
SRX6785024	FRiP	score:	0.450542529		45.05425293
GSM1925787	FRiP	score:	0.450272363		45.02723629
GSM1925574	FRiP	score:	0.449723412		44.97234122
GSM2130975	FRiP	score:	0.449504078		44.95040779
GSM1925632	FRiP	score:	0.449457251		44.94572514
GSM1925544	FRiP	score:	0.448308449		44.8308449
GSM1196650	FRiP	score:	0.448143768		44.81437678
GSM1925783	FRiP	score:	0.444308326		44.43083255
GSM1925624	FRiP	score:	0.443651316		44.36513165
GSM2130947	FRiP	score:	0.443581039		44.35810392
GSM1925549	FRiP	score:	0.443049797		44.30497974
GSM1925343	FRiP	score:	0.442312932		44.23129319
GSM1869288	FRiP	score:	0.442113072		44.21130717
GSM1925889	FRiP	score:	0.441975333		44.19753328
GSM1925888	FRiP	score:	0.441911291		44.19112911
GSM1925543	FRiP	score:	0.441173796		44.11737961
GSM1925159	FRiP	score:	0.441146424		44.11464243
GSM1925329	FRiP	score:	0.4391208		43.91207996
GSM1925539	FRiP	score:	0.438477243		43.84772429
GSM1925268	FRiP	score:	0.43799653		43.79965298
GSM1925306	FRiP	score:	0.437852969		43.78529692
SAMD00089271	FRiP	score:	0.43776822		43.77682201
GSM1925638	FRiP	score:	0.437029508		43.70295084
GSM2130957	FRiP	score:	0.433787259		43.37872586
GSM1925275	FRiP	score:	0.43257809		43.25780904
GSM2130937	FRiP	score:	0.432511364		43.25113643
GSM3671321	FRiP	score:	0.431680247		43.16802466
GSM1925024	FRiP	score:	0.430781709		43.07817092
GSM1925877	FRiP	score:	0.429812201		42.98122011
GSM2130935	FRiP	score:	0.428781922		42.87819219
GSM2130925	FRiP	score:	0.428666608		42.86666082
GSM1925876	FRiP	score:	0.42863589		42.86358897
GSM1925055	FRiP	score:	0.427530408		42.7530408
GSM1925760	FRiP	score:	0.425154427		42.51544274
GSM2130876	FRiP	score:	0.424097894		42.40978941
GSM2130961	FRiP	score:	0.423276317		42.32763172
GSM1925736	FRiP	score:	0.422722986		42.27229857
GSM2130942	FRiP	score:	0.422073832		42.20738324
GSM2130965	FRiP	score:	0.42033839		42.03383897
GSM1925789	FRiP	score:	0.417460136		41.74601359
GSM4485653	FRiP	score:	0.416345706		41.63457063
GSM1925470	FRiP	score:	0.415300955		41.53009551
GSM1925026	FRiP	score:	0.414830141		41.48301414
GSM1499342	FRiP	score:	0.414065994		41.40659943
GSM2857899	FRiP	score:	0.410407571		41.04075713
GSM1925336	FRiP	score:	0.408445838		40.84458382
GSM2130954	FRiP	score:	0.407418902		40.74189024
GSM1925670	FRiP	score:	0.406281195		40.62811947
GSM1925740	FRiP	score:	0.406259695		40.62596952
GSM1925890	FRiP	score:	0.405685259		40.56852588
GSM2130976	FRiP	score:	0.404652269		40.46522693
GSM2130953	FRiP	score:	0.404434006		40.44340055
GSM2130923	FRiP	score:	0.404169923		40.41699231
GSM1925780	FRiP	score:	0.40235892		40.23589203
GSM3874712	FRiP	score:	0.401475264		40.14752639
GSM2130943	FRiP	score:	0.401401747		40.14017475
GSM1925597	FRiP	score:	0.401281596		40.12815957
GSM1925063	FRiP	score:	0.4006475		40.06475003
GSM1925301	FRiP	score:	0.398184262		39.81842623
GSM1925025	FRiP	score:	0.397937539		39.79375386
GSM2130936	FRiP	score:	0.397874113		39.78741133
GSM4074101	FRiP	score:	0.396449001		39.64490013
GSM2130955	FRiP	score:	0.396442661		39.64426606
GSM1925058	FRiP	score:	0.396262792		39.62627924
GSM2130962	FRiP	score:	0.395530168		39.55301677
GSM2130883	FRiP	score:	0.395513607		39.55136073
GSM1618746	FRiP	score:	0.394213728		39.42137284
SRX1977107	FRiP	score:	0.394094234		39.40942343
GSM1925491	FRiP	score:	0.393685249		39.36852489
GSM2130979	FRiP	score:	0.393209403		39.32094028
GSM1925469	FRiP	score:	0.392948585		39.2948585
GSM1925331	FRiP	score:	0.392444844		39.24448435
GSM2130897	FRiP	score:	0.39205195		39.20519505
GSM2130939	FRiP	score:	0.391566654		39.1566654
GSM1925460	FRiP	score:	0.391470804		39.1470804
GSM1925881	FRiP	score:	0.389151583		38.91515831
GSM1383847	FRiP	score:	0.388877822		38.88778223
GSM1925880	FRiP	score:	0.388335048		38.83350481
GSM2130944	FRiP	score:	0.388126845		38.81268445
GSM867186	FRiP	score:	0.388099502		38.80995023
GSM1925395	FRiP	score:	0.387982198		38.79821985
GSM1925584	FRiP	score:	0.387255386		38.72553864
GSM1925823	FRiP	score:	0.386007425		38.60074248
GSM2130951	FRiP	score:	0.385942533		38.59425334
GSM1925170	FRiP	score:	0.385914271		38.5914271
GSM1925527	FRiP	score:	0.385553906		38.55539061
GSM1925300	FRiP	score:	0.383590723		38.35907228
GSM1925567	FRiP	score:	0.382975822		38.29758216
GSM1925152	FRiP	score:	0.381406968		38.14069684
GSM1925732	FRiP	score:	0.381239407		38.12394068
GSM1925392	FRiP	score:	0.379984629		37.99846289
GSM1925857	FRiP	score:	0.378658572		37.86585715
GSM1925172	FRiP	score:	0.37808292		37.80829205
GSM1925473	FRiP	score:	0.37740855		37.740855
GSM1925903	FRiP	score:	0.377316926		37.73169264
GSM1925837	FRiP	score:	0.37528409		37.52840899
GSM2095552	FRiP	score:	0.37463646		37.463646
GSM3666092	FRiP	score:	0.374504148		37.45041484
GSM1925503	FRiP	score:	0.374298174		37.42981741
GSM2857897	FRiP	score:	0.37306333		37.30633302
GSM1499341	FRiP	score:	0.372480449		37.24804492
GSM1925865	FRiP	score:	0.372463134		37.2463134
GSM2130945	FRiP	score:	0.372405225		37.24052247
GSM2130898	FRiP	score:	0.372342112		37.23421118
GSM1925864	FRiP	score:	0.372280365		37.22803652
GSM2130894	FRiP	score:	0.372038232		37.20382321
GSM4485658	FRiP	score:	0.371291474		37.12914737
GSM2130895	FRiP	score:	0.371199683		37.11996832
GSM2130924	FRiP	score:	0.37014509		37.01450901
GSM1925818	FRiP	score:	0.366947181		36.69471814
