GSM1925316	 FRiP score: 0.1739319390012029
GSM1925317	 FRiP score: 0.003012890413350777
GSM1925318	 FRiP score: 0.1484759664569017
GSM1925319	 FRiP score: 0.23595002656529554
GSM1925320	 FRiP score: 0.024842357842163657
GSM1925321	 FRiP score: 0.07756818467880237
GSM1925322	 FRiP score: 0.08777907136008765
GSM1925323	 FRiP score: 0.1421028501228387
GSM1925324	 FRiP score: 0.0009376813640950891
GSM1925325	 FRiP score: 0.27509233254607535
GSM1925326	 FRiP score: 0.05670014026513501
GSM1925327	 FRiP score: 0.25900658320159664
GSM1925328	 FRiP score: 0.09242949413819009
GSM1925329	 FRiP score: 0.43912079960888284
GSM1925330	 FRiP score: 0.1933244589761063
GSM1925331	 FRiP score: 0.39244484353950315
GSM1925332	 FRiP score: 0.23260618741494965
GSM1925333	 FRiP score: 0.30819166788705815
GSM1925334	 FRiP score: 0.30566652911374076
GSM1925335	 FRiP score: 0.0578155326627401
GSM1925336	 FRiP score: 0.4084458381554181
GSM1925337	 FRiP score: 0.10473527729564973
GSM1925338	 FRiP score: 0.2264322167930703
GSM1925339	 FRiP score: 0.018486796383641604
GSM1925340	 FRiP score: 0.19879307354333756
GSM1925341	 FRiP score: 0.000872524986951382
GSM1925342	 FRiP score: 0.06199189580591446
GSM1925343	 FRiP score: 0.4423129319462226
GSM1925344	 FRiP score: 0.5851090433167272
GSM1925345	 FRiP score: 0.24107976002691198
GSM1925346	 FRiP score: 0.09986660529025104
GSM1925347	 FRiP score: 0.04677356038402464
GSM1925348	 FRiP score: 0.0069042932676618134
GSM1925349	 FRiP score: 0.005889022027168082
GSM1925350	 FRiP score: 0.2914308304071809
GSM1925351	 FRiP score: 0.002687021600989765
GSM1925352	 FRiP score: 0.1755949110995768
GSM1925353	 FRiP score: 0.3114614496703913
GSM1925354	 FRiP score: 0.002029386562224968
GSM1925355	 FRiP score: 0.10011837784170464
GSM1925356	 FRiP score: 0.05015063459387805
GSM1925357	 FRiP score: 0.3490292589076663
GSM1925358	 FRiP score: 0.003116047708109255
GSM1925359	 FRiP score: 0.1516932193203505
GSM1925360	 FRiP score: 0.04330278621803683
GSM1925361	 FRiP score: 0.06843020867897558
GSM1925362	 FRiP score: 0.1363949873939202
GSM1925363	 FRiP score: 0.006113105301537873
GSM1925364	 FRiP score: 0.0037715621204142034
GSM1925365	 FRiP score: 0.0031483369590417525
GSM1925366	 FRiP score: 0.02095505238763097
GSM1925367	 FRiP score: 0.05883791864222511
GSM1925368	 FRiP score: 0.002147391743498919
GSM1925369	 FRiP score: 0.13632428398910668
GSM1925370	 FRiP score: 0.05934208826375212
GSM1925371	 FRiP score: 6.36858166379196e-05
GSM1925372	 FRiP score: 0.004067268409470614
GSM1925373	 FRiP score: 0.06243526136173622
GSM1925374	 FRiP score: 0.17948869346655588
GSM1925375	 FRiP score: 0.0053992625665071885
GSM1925376	 FRiP score: 0.0204730551718579
GSM1925377	 FRiP score: 0.09407334055874808
GSM1925378	 FRiP score: 0.00837639362208162
GSM1925379	 FRiP score: 0.08345362543222246
GSM1925380	 FRiP score: 0.16865054787285355
GSM1925381	 FRiP score: 0.02245753564733284
GSM1925382	 FRiP score: 0.32769032882466365
GSM1925383	 FRiP score: 0.02009056153645939
GSM1925384	 FRiP score: 0.6191152610857085
GSM1925385	 FRiP score: 0.2504996695170445
GSM1925386	 FRiP score: 0.3119277021784315
GSM1925387	 FRiP score: 0.25908749139615217
GSM1925388	 FRiP score: 0.0927867585350798
GSM1925389	 FRiP score: 0.042537164337294715
GSM1925390	 FRiP score: 0.007221496937979507
GSM1925391	 FRiP score: 0.17734725392279965
GSM1925392	 FRiP score: 0.3799846288711091
GSM1925393	 FRiP score: 0.09252462182169295
GSM1925394	 FRiP score: 0.022745929401229173
GSM1925395	 FRiP score: 0.3879821984877771
GSM1925396	 FRiP score: 0.2591636882246569
GSM1925397	 FRiP score: 0.011255560533083086
GSM1925398	 FRiP score: 0.012775987238337077
GSM1925399	 FRiP score: 0.013793391749410659
GSM1925400	 FRiP score: 0.08080045345311536
GSM1925401	 FRiP score: 0.05338127715747209
GSM1925402	 FRiP score: 0.00952138234295147
GSM1925403	 FRiP score: 0.10505389382253957
GSM1925404	 FRiP score: 0.04612914734213343
GSM1925405	 FRiP score: 0.06861847284074822
GSM1925406	 FRiP score: 0.11052592036928185
GSM1925407	 FRiP score: 0.11993599754643809
GSM1925408	 FRiP score: 0.018356975411269405
GSM1925409	 FRiP score: 0.0003968311231042295
GSM1925410	 FRiP score: 0.022122441197753237
GSM1925411	 FRiP score: 0.08467770933552446
GSM1925412	 FRiP score: 0.03923710892045052
GSM1925413	 FRiP score: 0.0001081352427681891
GSM1925414	 FRiP score: 0.1706666797303948
GSM1925415	 FRiP score: 0.00509412928721728
GSM1925416	 FRiP score: 0.244198880055181
GSM1925417	 FRiP score: 0.102269644876178
GSM1925418	 FRiP score: 0.017828388866901582
GSM1925419	 FRiP score: 0.06989048464227308
GSM1925420	 FRiP score: 0.07786178739170307
GSM1925421	 FRiP score: 0.2033627856988925
GSM1925422	 FRiP score: 0.008487948381437871
GSM1925423	 FRiP score: 0.08767275280611357
GSM1925424	 FRiP score: 0.0003823408247418837
GSM1925425	 FRiP score: 0.23256844481316033
GSM1925426	 FRiP score: 0.0007736150729155471
GSM1925427	 FRiP score: 0.6628883674728322
GSM1925428	 FRiP score: 0.24587724152418372
GSM1925429	 FRiP score: 0.015339036769007804
GSM1925430	 FRiP score: 0.022936468686994917
GSM1925431	 FRiP score: 0.20553904711792784
GSM1925432	 FRiP score: 0.0037206844127700045
GSM1925433	 FRiP score: 0
GSM1925434	 FRiP score: 0.06241282607639428
GSM1925435	 FRiP score: 0.0389906698941247
GSM1925436	 FRiP score: 0.04322621480966668
GSM1925437	 FRiP score: 0.0043439674320857775
GSM1925438	 FRiP score: 0.2975575778572886
GSM1925439	 FRiP score: 0.0037863736045739785
GSM1925440	 FRiP score: 0.01312854950249892
GSM1925441	 FRiP score: 0.18770644702523817
GSM1925442	 FRiP score: 0.5260486969927268
GSM1925443	 FRiP score: 0.2420763958501422
GSM1925444	 FRiP score: 0.11054676491356953
GSM1925445	 FRiP score: 0.001526910968361211
GSM1925446	 FRiP score: 0.006984466700491455
GSM1925447	 FRiP score: 0.0001683596483869077
GSM1925448	 FRiP score: 0.030282367958758147
GSM1925449	 FRiP score: 0.015644981676465837
GSM1925450	 FRiP score: 0.07326336390981808
GSM1925451	 FRiP score: 0.0857029101978315
GSM1925452	 FRiP score: 0.0018964553449435679
GSM1925453	 FRiP score: 0.00015410506839603
GSM1925454	 FRiP score: 0.14526623836202293
GSM1925455	 FRiP score: 0.07814279824923266
GSM1925456	 FRiP score: 0.1673951354330831
GSM1925457	 FRiP score: 0.03032573795960642
GSM1925458	 FRiP score: 0.1081064636827182
GSM1925459	 FRiP score: 0.2661654867796632
GSM1925460	 FRiP score: 0.3914708040453101
GSM1925461	 FRiP score: 0.18857471132994258
GSM1925462	 FRiP score: 0.05165081972155024
GSM1925463	 FRiP score: 0.20197954497749904
GSM1925464	 FRiP score: 0.002170808075776724
GSM1925465	 FRiP score: 0.03118201222787376
GSM1925466	 FRiP score: 0.016074220264493486
GSM1925467	 FRiP score: 0.11889915948867891
GSM1925468	 FRiP score: 0.08131450784209371
GSM1925469	 FRiP score: 0.39294858495190454
GSM1925470	 FRiP score: 0.4153009550514673
GSM1925471	 FRiP score: 0.03331096546462353
GSM1925472	 FRiP score: 0.0011811979584112565
GSM1925473	 FRiP score: 0.377408550043248
GSM1925474	 FRiP score: 0.11035048812353859
GSM1925475	 FRiP score: 0.09194865012769063
GSM1925476	 FRiP score: 0.196981732155935
GSM1925477	 FRiP score: 0.0967845527519121
GSM1925478	 FRiP score: 0.028610744188357667
GSM1925479	 FRiP score: 0.08789851796940401
GSM1925480	 FRiP score: 0.0007124876451428616
GSM1925481	 FRiP score: 0.01424824993497593
GSM1925482	 FRiP score: 0.050777508794288155
GSM1925483	 FRiP score: 0.2605707171470394
GSM1925484	 FRiP score: 0.014656321334435363
GSM1925485	 FRiP score: 0.0021374568041841635
GSM1925486	 FRiP score: 0.07703438361652487
GSM1925487	 FRiP score: 0.1159877286090192
GSM1925488	 FRiP score: 0.19336391521230475
GSM1925489	 FRiP score: 0.004347860942014531
GSM1925490	 FRiP score: 0.10721919843184374
GSM1925491	 FRiP score: 0.3936852488994927
GSM1925492	 FRiP score: 0.20010045382216493
GSM1925493	 FRiP score: 0.2719792641773833
GSM1925494	 FRiP score: 0.07083194901670328
GSM1925495	 FRiP score: 0.019324099825061742
GSM1925496	 FRiP score: 0.019330772474200248
GSM1925497	 FRiP score: 0.1790960341890578
GSM1925498	 FRiP score: 0.32646588188354797
GSM1925499	 FRiP score: 0.1049207046979786
