GSM2916533	 FRiP score: 0.045714796337159816
GSM2916534	 FRiP score: 0.048182567528176276
GSM2916535	 FRiP score: 0.07907583402049508
GSM2916536	 FRiP score: 0.03867818614631434
GSM3092814	 FRiP score: 0.02955479763832013
GSM3092815	 FRiP score: 0.3389906969843422
GSM3666093	 FRiP score: 0.5725920942033365
GSM3671319	 FRiP score: 0.4753799227378104
GSM3671320	 FRiP score: 0.24245268774854348
GSM3671321	 FRiP score: 0.4316802465890899
GSM3671325	 FRiP score: 0.35311537525043035
GSM3671326	 FRiP score: 0.619608042728492
GSM3671327	 FRiP score: 0.29682458097757275
GSM3671316	 FRiP score: 0.25814689897933635
GSM3671317	 FRiP score: 0.2177771029066746
GSM3671318	 FRiP score: 0.35774337549361873
GSM3671322	 FRiP score: 0.2839160158079077
GSM3671323	 FRiP score: 0.24929872010134627
GSM3671324	 FRiP score: 0.2836562683975174
GSM4485657	 FRiP score: 0.4618436685043756
GSM4485658	 FRiP score: 0.37129147366956244
GSM4485653	 FRiP score: 0.41634570627674017
GSM4455284	 FRiP score: 0.29459964966029584
GSM4455285	 FRiP score: 0.10579942099142103
GSM424618	 FRiP score: 0.11214221055582377
GSM506208	 FRiP score: 0.19610038119917322
GSM506209	 FRiP score: 0.2472803345209573
GSM506210	 FRiP score: 0.12217821709278996
GSM506211	 FRiP score: 0.1384131043200686
GSM532325	 FRiP score: 0.027727791149698595
GSM532326	 FRiP score: 0.20446368624166975
GSM605656	 FRiP score: 0.12757284296074198
GSM605657	 FRiP score: 0.27930477428818823
GSM2086282	 FRiP score: 0.06167414444040319
GSM657970	 FRiP score: 0.0006268167186595488
GSM761689	 FRiP score: 0.11487926547718523
GSM761690	 FRiP score: 0.09942366031328582
GSM861508	 FRiP score: 0.20543763948542643
GSM865709	 FRiP score: 0.08298315194345512
GSM878068	 FRiP score: 0.1789285089267015
GSM889585	 FRiP score: 0.2966478149694787
GSM940585	 FRiP score: 0.08517610728549845
GSM940586	 FRiP score: 0.08331864947815185
GSM1120014	 FRiP score: 0.036418228208938114
GSM1120015	 FRiP score: 0.02203835540518066
GSM1196650	 FRiP score: 0.44814376776506415
GSM1264686	 FRiP score: 0.19231980540751448
GSM1264688	 FRiP score: 0.3419089682005209
GSM1383847	 FRiP score: 0.3888778222631593
GSM1419604	 FRiP score: 0.1559407465660223
GSM1419605	 FRiP score: 0.13620382423193095
GSM1419608	 FRiP score: 0.26251903012078676
GSM1419609	 FRiP score: 0.20714149917321756
GSM1429897	 FRiP score: 0.015572359176231952
GSM1429898	 FRiP score: 0.01309222257532707
GSM1429899	 FRiP score: 0.20870803595130263
GSM1463808	 FRiP score: 0.11937189305756739
GSM1463810	 FRiP score: 0.2877881368981973
GSM1463812	 FRiP score: 0.014478926065203835
GSM1463814	 FRiP score: 0.17622905461218527
GSM1466341	 FRiP score: 0.021289663405550847
GSM1466343	 FRiP score: 0.2979769164007713
GSM1466345	 FRiP score: 0.3417206728966115
GSM1466344	 FRiP score: 0.2979769164007713
GSM1466346	 FRiP score: 0.3417206728966115
GSM1618741	 FRiP score: 0.13843910455731095
GSM1618742	 FRiP score: 0.07996487723585158
GSM1618745	 FRiP score: 0.35689586800714035
GSM1618746	 FRiP score: 0.39421372841360053
GSM1665429	 FRiP score: 0.30543617212640667
GSM2095552	 FRiP score: 0.3746364600038053
GSM2095553	 FRiP score: 0.3468051056241545
GSM2095554	 FRiP score: 0.30552462689682025
GSM2095555	 FRiP score: 0.2928488497068703
GSM2095556	 FRiP score: 0.28018601696499207
GSM2095557	 FRiP score: 0.22404354412388408
GSM2130859	 FRiP score: 0
GSM2130860	 FRiP score: 0
GSM2130861	 FRiP score: 0
GSM2130862	 FRiP score: 0
GSM2130863	 FRiP score: 0
GSM2130864	 FRiP score: 0
GSM2130865	 FRiP score: 0
GSM2130866	 FRiP score: 0
GSM2130867	 FRiP score: 0
GSM2130859	 FRiP score: 0.5633544353093769
GSM2130860	 FRiP score: 0.44328665836683684
GSM2130861	 FRiP score: 0.5846596907518441
GSM2130862	 FRiP score: 0.5084909864945341
GSM2130863	 FRiP score: 0.5217720000902379
GSM2130864	 FRiP score: 0.3981616450336794
GSM2130865	 FRiP score: 0.33787130397020204
GSM2130866	 FRiP score: 0.24071387231877686
GSM2130867	 FRiP score: 0.3880012226265901
GSM2130868	 FRiP score: 0.24721714823205226
GSM2130869	 FRiP score: 0.2952325545602132
GSM2130870	 FRiP score: 0.16540404067415387
GSM2130871	 FRiP score: 0.5054523344967031
GSM2130872	 FRiP score: 0.47034797544444
GSM2130873	 FRiP score: 0.4801058833883319
GSM2130874	 FRiP score: 0.47437206271998467
GSM2130875	 FRiP score: 0.5256290799013191
GSM2130876	 FRiP score: 0.42409789405424125
GSM2130877	 FRiP score: 0.2578553736608892
GSM2130878	 FRiP score: 0.24939595351403343
GSM2130879	 FRiP score: 0.27235219597796845
GSM2130880	 FRiP score: 0.20135391197225447
GSM2130881	 FRiP score: 0.3012555657231935
GSM2130882	 FRiP score: 0.1994831700878628
GSM2130883	 FRiP score: 0.3955136073237859
GSM2130884	 FRiP score: 0.1525947909214397
GSM2130885	 FRiP score: 0.28003886224375807
GSM2130886	 FRiP score: 0.1252055611365926
GSM2130887	 FRiP score: 0.25972712497820694
GSM2130888	 FRiP score: 0.28365245158022734
GSM2130889	 FRiP score: 0.28411920712765865
GSM2130890	 FRiP score: 0.19633487673304434
GSM2130891	 FRiP score: 0.33206983523323863
GSM2130892	 FRiP score: 0.2567318852969497
GSM2130893	 FRiP score: 0.3455552150363613
GSM2130894	 FRiP score: 0.37203823210779396
GSM2130895	 FRiP score: 0.3711996831847823
GSM2130896	 FRiP score: 0.3497846772106024
GSM2130897	 FRiP score: 0.3920519504884437
GSM2130898	 FRiP score: 0.37234211180427934
GSM2130899	 FRiP score: 0.3102718848161033
