Row.names	hda6	ldl1.2	hda6.ldl1.2	hda6_b	ldl1_b	type	H3Ac_hda6_mean	H3Ac_ldl12_mean	H3Ac_hda6ldl12_mean	H3Ac_WT_mean	H3K4me2_hda6_mean	H3K4me2_ldl12_mean	H3K4me2_hda6ldl12_mean	H3K4me2_WT_mean	CG_col_mean	CG_hda6_mean	CG_ldl12_mean	CG_hda6ldl12_mean	CHG_col_mean	CHG_hda6_mean	CHG_ldl12_mean	CHG_hda6ldl12_mean	CHH_col_mean	CHH_hda6_mean	CHH_ldl12_mean	CHH_hda6ldl12_mean	C_mean	L12_mean	L12a_mean	a_mean	Chr	Start	End	length	strand	Syn_anta	DETE_exp_log.effect2	H3Ac_fold_hda6	H3Ac_fold_ldl12	H3Ac_fold_hda6ldl12	H3K4me2_fold_hda6	H3K4me2_fold_ldl12	H3K4me2_fold_hda6ldl12	delta_CG_hda6_col	delta_CG_ldl12_col	delta_CG_hda6ldl12_col	delta_CHG_hda6_col	delta_CHG_ldl12_col	delta_CHG_hda6ldl12_col	delta_CHH_hda6_col	delta_CHH_ldl12_col	delta_CHH_hda6ldl12_col	hda6_logFC	hda6_PValue	hda6_FDR	hda6_DETE	l12_logFC	l12_PValue	l12_FDR	l12_DETE	hda6l12_logFC	hda6l12_PValue	hda6l12_FDR	hda6l12_DETE	types	cluster_WT	cluster_hda6	cluster_ldl12	cluster_hda6ldl12
AT1G08105	0	0	1	noBinding	noBinding	hda6_ldl1_2_specific	2.4102284744762	2.43611918694587	3.04407144420338	2.2944840080026	3.44841270386822	3.99394150276438	4.50422947713394	3.58282693448765	90.2014	92.44065	90.87485	90.69575	56.9651	46.64365	55.58245	42.18945	11.44775	9.97533	10.2419	7.57232	0	1.21573471243965	5.00992516174324	0	1	2531694	2534786	2000	-	strong_syn	3.79419044930359	0.143908534944285	0.175725576626421	0.89183097408833	-0.147284987751018	0.443290787530376	0.982047592897684	2.23925	0.673450000000003	0.494350000000011	-10.32145	-1.38265000000001	-14.77565	-1.47242	-1.20585	-3.87543	0	1	1	No	2.41496844209875	0.800000000000004	1	No	7.08203695850188	1.63787213518809e-07	2.57871089986675e-07	Up	0_0_1	cluster_2	cluster_2	cluster_2	cluster_2
AT1G12720	1	0	1	noBinding	noBinding	hda6_triple_common	3.00528859229323	1.99959598882435	3.39664656308009	2.24990492780897	3.72906326957774	3.15756683484897	4.62233007897309	2.91868294874544	84.71095	89.2656	85.94535	89.57815	43.0347	31.23265	44.5625	25.95485	10.82225	7.238275	9.823735	4.785175	1.08276374973421	2.25966740535003	7.92516207403496	5.94433758007444	1	4331061	4333220	2000	+	syn	0.803920838344694	0.903823807314163	-0.324874071626451	1.34308408650383	0.901805966788803	0.272014056449392	1.8483359048501	4.55465000000001	1.23440000000001	4.8672	-11.80205	1.5278	-17.07985	-3.583975	-0.998515000000001	-6.037075	5.34231202037868	1.91639218632703e-10	5.05119346236357e-10	Up	1.45320797936344	0.707755459589671	1	No	7.36315751013719	2.85987771884407e-26	9.83082965852651e-26	Up	1_0_1	cluster_1	cluster_1	cluster_1	cluster_2
AT1G12725	1	0	1	noBinding	noBinding	hda6_triple_common	4.24334919124109	2.43465224455657	3.39962160926761	2.77047599174229	3.44648717496774	3.397646227939	4.03183185599753	2.63279749440275	89.9531	73.3906	91.9687	88.8281	60.0652	29.7609	62.8913	29.8478	13.98435	5.38802	13.5651	5.713545	0	0	7.70597559144797	7.29438659128434	1	4333382	4334033	2000	-	syn	0.411589000163627	1.62308021860319	-0.402183903105923	0.714057323054705	0.928408532053643	0.874547380629182	1.56149379322642	-16.5625	2.01559999999999	-1.12500000000001	-30.3043	2.82610000000001	-30.2174	-8.59633	-0.419250000000002	-8.270805	7.03123939432778	3.3766407358895e-08	7.69538289256586e-08	Up	0	1	1	No	7.55571039213359	5.75961594930762e-09	1.01749104029524e-08	Up	1_0_1	cluster_1	cluster_2	cluster_1	cluster_2
AT1G16620	0	0	1	noBinding	noBinding	hda6_ldl1_2_specific	2.37986351625369	2.16198761980093	2.80812346767078	1.93360473975688	3.46440165741707	4.24207273458179	4.73757049756716	3.71174267650573	91.15	93.41665	89.3701	94.2	66.58125	57.594	57.25395	40.556	9.651035	10.14519	9.37891	5.7315	3.00858856906987	1.99501910301837	6.13218964013485	3.80246512838716	1	5679818	5681188	2000	+	strong_syn	3.3432939777992	0.576155837989221	0.301306604899853	1.08984924190925	-0.269784677169018	0.566502159872988	1.0851860981402	2.26665000000001	-1.7799	3.05	-8.98725	-9.3273	-26.02525	0.494154999999999	-0.272125000000001	-3.919535	0.815303251788323	0.556254427804018	0.609442102175716	No	-1.0573179189076	0.707951897768517	1	No	3.17737053286735	0.000101348513563591	0.000132507961473792	Up	0_0_1	cluster_3	cluster_2	cluster_3	cluster_3
AT1G16660	1	0	1	noBinding	noBinding	hda6_triple_common	4.68817756049453	2.29314090614076	3.69775714218874	2.24319531425184	5.75196575980673	3.35746895929391	5.00940316250414	3.11609688830427	86.75	68.78875	88.7218	89.29225	61.17365	50.496	62.2832	49.96855	13.636	5.55287	13.2453	8.201355	1.06204561364252	0.94260473665939	6.67355684277684	9.80952902974378	1	5692023	5696458	2000	+	strong_anta	-3.01653130998381	2.72987947030094	0.0630149966010882	1.68089649331615	2.78548279745878	0.270029303446431	2.0244600012024	-17.96125	1.9718	2.54225000000001	-10.67765	1.10955000000001	-11.2051	-8.08313	-0.390700000000002	-5.434645	9.44803487171419	1.2657566599789e-81	1.97028159336338e-80	Up	-0.182986702773675	1	1	No	6.31883930483348	2.68265300534138e-28	9.83639435291838e-28	Up	strong_weak_anta	cluster_2	cluster_3	cluster_2	cluster_2
AT1G17275	0	0	1	noBinding	noBinding	hda6_ldl1_2_specific	2.56456718216025	1.96671285054535	3.1443833399053	2.05183842233304	3.07885316649848	3.00472249864283	4.45760414091509	2.68551972150409	87.68845	91.6375	87.31695	90.62055	49.3614	39.9604	50.3854	31.38355	10.28085	10.2315	10.154225	5.803355	1.3101444720364	1.17250454526217	6.5468428970338	1.37723426874226	1	5912052	5915313	2000	+	strong_syn	5.30724855506577	0.643579298358933	-0.113230395998904	1.31728451878658	0.45527497267929	0.370908366546028	1.94842390195102	3.94904999999999	-0.371499999999997	2.93209999999999	-9.40100000000001	1.024	-17.97785	-0.0493499999999987	-0.126624999999999	-4.477495	0.0546395425887604	1	1	No	-0.183451058866073	1	1	No	5.74561013275666	1.48382542498551e-12	3.14693052856824e-12	Up	0_0_1	cluster_2	cluster_1	cluster_2	cluster_2
AT1G17277	1	0	1	noBinding	noBinding	hda6_triple_common	4.61184811612956	2.90090544030141	7.47067514114337	2.56600044048374	4.81900901147058	3.90723199303776	6.14051487364739	2.86368972262761	88.66665	82.66665	91.8333	61.4792	38.30645	21.6129	41.3387	7.725825	8.88772	5.4142	9.38464	1.757395	2.391277763135	0	11.4070282201659	8.83682790675882	1	5915643	5916212	2000	-	strong_syn	4.96147807654211	2.25223010600041	0.394317929976241	5.16309017840942	2.11631843113559	1.15711774461251	3.46923321972924	-6	3.16665	-27.18745	-16.69355	3.03225	-30.580625	-3.47352	0.496920000000001	-7.130325	6.3256517973267	1.71838138659536e-17	5.76286440626494e-17	Up	-1.82034469377096	1	1	No	8.92463543464089	7.12616664968595e-44	4.08269964304924e-43	Up	1_0_1	cluster_1	cluster_1	cluster_1	cluster_3
AT1G17390	1	0	1	noBinding	noBinding	hda6_triple_common	6.39809037721446	7.61773559247853	7.17495563433594	6.72243186935465	3.2030100374746	5.11165317360333	5.16216370236828	3.48922307195864	89.4932	91.9974	88.041	87.35445	47.9211	36.70995	45.6627	29.97475	6.97134	7.358045	7.58852	4.546455	0	4.69904072625079	8.13768661954997	3.97181939742759	1	5958627	5959651	2000	-	anta	-0.53317350412841	-0.327819242145025	0.901660592797523	0.456228788143311	-0.317462599212756	1.714548005022	1.76653463839012	2.5042	-1.4522	-2.13875	-11.21115	-2.2584	-17.94635	0.386704999999998	0.617179999999999	-2.424885	4.35301690522728	0.0340198695518267	0.0454148744017104	Up	4.76424344784778	0.0170709090617608	0.287418366856177	No	8.64202802388809	7.60774125127544e-12	1.56518367389083e-11	Up	strong_weak_anta	cluster_3	cluster_2	cluster_2	cluster_3
AT1G21290	1	0	1	noBinding	noBinding	hda6_triple_common	5.56681819766811	4.51538446063695	5.59514556799086	4.94913568546162	7.31608236950789	6.68967865684329	7.11153216121894	7.0248293910409	0.472222	1.138891	0.826389	0.770833	0.43	1.19	0.88	1.17	0.583744	0.8177355	0.65517	0.783251	4.62391238399465	2.79524892582297	7.02517962777521	6.81967573413774	1	7449963	7450695	2000	-	strong_syn	2.03416735180914	0.634377860907848	-0.450761960132357	0.663309035069387	0.293290436411138	-0.33807035575854	0.0873531634384577	0.666669	0.354167	0.298611	0.76	0.45	0.74	0.2339915	0.0714259999999999	0.199507	2.19849528787172	0.000688198233302613	0.00113100307265868	Up	-1.80912155276659	0.236007890824819	1	No	2.41391883343409	0.000129132587923978	0.000166981794729282	Up	1_0_1	cluster_3	cluster_3	cluster_3	cluster_3
AT1G22560	1	0	1	noBinding	noBinding	hda6_triple_common	5.48417842037996	4.9227568320017	5.86488317564964	3.91777544060112	5.96594931953495	5.63385982822334	6.2181224294544	4.47668626757417	79.22685	66.13425	77.10355	68.85645	55.6271	29.30035	49.23375	25.8174	12.09595	5.979025	9.18071	3.666915	3.20798556498031	2.83984009633184	6.07293405052047	5.15116180657292	1	7970247	7974396	2000	+	strong_syn	1.28991771259602	1.63249867083027	1.05532408860226	2.02082183955244	1.5322492394697	1.19408196400169	1.78817521924958	-13.0926	-2.1233	-10.3704	-26.32675	-6.39335	-29.8097	-6.116925	-2.91524	-8.429035	2.03495779989209	7.58016196351303e-05	0.00013594855695431	Up	-0.425941396214303	0.853343037353464	1	No	2.97313847158294	2.03646000761015e-10	3.89809630227e-10	Up	1_0_1	cluster_2	cluster_2	cluster_2	cluster_3
AT1G25430	1	0	1	noBinding	noBinding	hda6_triple_common	4.62300646512794	3.82093968769674	6.06493672751485	3.81526287939312	5.04660019240139	4.05562083254245	6.31370841247932	3.94521439157937	89.9711	92.0561	91.3651	79.0121	53.59275	43.6848	55.31815	29.3032	13.67195	14.05735	13.9866	3.088285	6.33281754341246	5.25828220869143	10.7308939761033	9.04787962043158	1	8927731	8933058	2000	-	strong_syn	2.75754969039279	0.854233979764474	0.00610953206852225	2.33418155681583	1.15384224621013	0.11775891813085	2.44699736116654	2.08499999999999	1.39399999999999	-10.959	-9.90795	1.7254	-24.28955	0.385400000000002	0.31465	-10.583665	2.726862042516	1.58634239336246e-24	6.32237910398082e-24	Up	-1.09428578543379	0.00161694052788662	0.0476419976966592	Down	4.41199815540752	1.24377562598838e-58	1.23628300173544e-57	Up	1_0_1	cluster_2	cluster_2	cluster_2	cluster_3
AT1G26990	0	0	1	noBinding	noBinding	hda6_ldl1_2_specific	2.28470067657673	2.16537494748522	3.858756856902	1.86293138324596	3.28568259234504	3.10963970976753	5.19102959516774	2.94291042974316	85.80225	88.6082	87.1082	87.99625	56.67825	43.1707	57.02115	34.48335	12.7325	9.066845	11.8712	5.89426	1.04742988964262	1.86317268651354	7.00091308927137	2.69450169987438	1	9368530	9373180	2000	-	strong_syn	3.49066859252607	0.553990045772436	0.402219915474116	2.35613150729977	0.387622512903822	0.190050066417325	2.40888893869068	2.80595000000001	1.30595	2.194	-13.50755	0.3429	-22.1949	-3.665655	-0.8613	-6.83824	2.20582984415303	0.0883009771413599	0.112074317140957	No	1.20331759222623	0.648368455764991	1	No	6.71576409780546	5.51550108330927e-21	1.59659241885268e-20	Up	0_0_1	cluster_1	cluster_2	cluster_1	cluster_2
AT1G30340	1	0	1	noBinding	noBinding	hda6_triple_common	2.83021272427573	2.54056421106632	3.63690878173072	2.4417344420711	4.12708432392406	4.05371088630766	5.07721094818306	3.73253513457216	84.99385	88.81045	87.3896	89.5714	63.4412	59.60015	63.23825	55.54845	14.3566	14.0824	13.25135	10.016245	1.43755710625127	1.94456804772016	4.77898713424528	3.09147791535207	1	10696998	10701393	2000	+	strong_syn	1.18049827742432	0.463240130633623	0.120192322655156	1.36754407156171	0.422331697926193	0.344386593223679	1.41405652001314	3.81660000000001	2.39575000000001	4.57754999999999	-3.84104999999999	-0.202950000000001	-7.89275	-0.2742	-1.10525	-4.340355	2.05552761456667	0.0358185104385178	0.0477387255440665	Up	0.702923277969934	0.91126812652579	1	No	3.85464614761169	1.85891957848532e-07	2.91007334392863e-07	Up	1_0_1	cluster_2	cluster_2	cluster_2	cluster_2
AT1G30390	1	0	1	noBinding	noBinding	hda6_triple_common	6.07449580295112	4.24149319350811	6.21402277926467	4.28042930736104	6.24331205658898	4.74286585701416	6.26501862489476	3.96052097714374	90.63725	37.14025	90.69275	53.5786	50.7975	1.066667	46.0023	3.14376	5.39786	0.6000285	4.1017	0.9751465	4.42136658487616	3.22368409312381	6.3328447043953	6.66068531409088	1	10723453	10725016	2000	+	syn	0.869841882056775	1.84866003430778	-0.0410765222068337	1.99018674188397	2.35932103945833	0.823169811853248	2.38131547426864	-53.497	0.055499999999995	-37.05865	-49.730833	-4.79520000000001	-47.65374	-4.7978315	-1.29616	-4.4227135	2.26519899119974	0.00670091386939828	0.00978335951068691	Up	-1.25935790053308	0.34421464562175	1	No	1.93454755154775	0.0213465402374207	0.0242240656064265	Up	1_0_1	cluster_3	cluster_3	cluster_3	cluster_3
AT1G31030	1	0	1	noBinding	noBinding	hda6_triple_common	5.72937602540688	2.58705529437004	6.41994838350445	2.66933750125801	6.4096556888157	3.91934485009785	6.76470575418888	3.46474471213378	84.20275	46.15835	89.7306	47.9139	38.4059	4.92204	51.67475	3.87634	5.445785	1.249665	7.52142	1.032798	0	0	5.2314382366279	5.05721130216392	1	11064582	11067201	2000	-	syn	0.174226934463984	3.27908021393551	-0.0981436760533393	3.98014637023143	3.06468739629186	0.492881660874409	3.42347497179916	-38.0444	5.52785	-36.28885	-33.48386	13.26885	-34.52956	-4.19612	2.075635	-4.412987	6.76694477815092	7.49279221531638e-09	1.77630849932069e-08	Up	0	1	1	No	7.06493309916419	4.94105553350114e-09	8.76638884976008e-09	Up	1_0_1	cluster_3	cluster_3	cluster_2	cluster_3
AT1G31100	1	0	1	noBinding	noBinding	hda6_triple_common	5.00783461368635	2.11999022584424	4.7032280818257	2.07121692262764	6.25827581689891	3.30079218926027	5.93237894701391	2.82265979572898	84.9421	44.4464	86.51075	53.1357	49.604	6.128625	47.7645	6.016305	9.37846	1.42974	7.892685	1.259385	0	0	5.72150762649093	4.74167750609344	1	11097033	11100418	2000	-	syn	0.97983012039749	3.28272076575655	0.0636522867761499	2.96720510830041	3.63628361744727	0.543544406124235	3.3055436161461	-40.4957	1.56864999999999	-31.8064	-43.475375	-1.8395	-43.587695	-7.94872	-1.485775	-8.119075	6.81057611543156	4.86240612992541e-08	1.10205633439244e-07	Up	0	1	1	No	7.9285807275668	8.49511134160014e-12	1.7433997156269e-11	Up	1_0_1	cluster_2	cluster_3	cluster_2	cluster_3
AT1G31210	0	0	1	Binding	noBinding	hda6_ldl1_2_specific	2.26997717421719	2.11353215269893	2.75971724618135	1.9075675416368	3.16908157985009	3.05334075887392	4.42453584021266	2.80314952566505	87.775	89.43685	91.28845	88.5301	53.4423	44.24575	57.394	39.90955	11.44195	9.794425	12.44095	6.44824	1.94134592289304	1.0162546137223	4.25918208701088	1.99844413960731	1	11148253	11152501	2000	-	strong_syn	3.18582925657431	0.474262165849204	0.273991167344927	1.06860107185169	0.418935300386548	0.288058631603321	1.77551290208123	1.66185	3.51344999999999	0.755099999999999	-9.19654999999999	3.9517	-13.53275	-1.647525	0.999000000000001	-4.99371	0.0601679554762315	1	1	No	-1.33767277335636	0.566754071312092	1	No	2.59300905320371	0.0122230321076278	0.0141430595915749	Up	0_0_1	cluster_2	cluster_2	cluster_2	cluster_3
AT1G31570	1	1	1	Binding	noBinding	common	2.3209510595809	1.90245374449928	2.65932292958374	2.07088903212251	4.04779137913547	3.4567562190299	5.99132569424105	3.18168698630478	85.43455	90.5506	85.49915	94.94645	54.6879	46.20915	55.63695	59.6624	11.91505	9.32903	11.01885	3.942095	3.99791463496348	6.76197809781234	10.4359375555415	7.14575145761538	1	11302781	11309164	2000	-	syn	0.526122635077289	0.319961238167669	-0.225273594147813	0.731804494556463	0.94450112133869	0.305725245611339	2.95508635551163	5.11605	0.0645999999999987	9.5119	-8.47875	0.94905	4.97450000000001	-2.58602	-0.8962	-7.972955	3.2189550686564	5.81211595763181e-10	1.47538328155269e-09	Up	2.83113885581308	8.4243015445254e-08	7.72227641581496e-06	Up	6.51844587634701	4.93641422423959e-31	1.97696200728042e-30	Up	1_0_1	cluster_1	cluster_1	cluster_1	cluster_3
AT1G32590	1	1	1	noBinding	noBinding	common	5.12685105766499	2.11667582090902	5.02994754024353	1.72921122513353	6.42246260912838	3.3970875965271	6.10547799231904	2.87972928829229	84.59925	72.1379	90.15515	90.1686	52.1774	2.388393	53.65995	5.17105	8.80197	0.5915495	9.70959	0.3733395	0	3.76918123674447	5.48357870552424	6.75160661130889	1	11789767	11793772	2000	+	strong_anta	-5.03720914252913	3.87307691241083	0.527030976677992	3.77322029303684	3.73628021520388	0.584069392653176	3.41511198662076	-12.46135	5.55590000000001	5.56935	-49.789007	1.48255	-47.00635	-8.2104205	0.90762	-8.4286305	9.09550471307834	3.03842900721157e-29	1.34769028545675e-28	Up	5.73167256697236	3.43813977824377e-05	0.00177279082315694	Up	7.93463509245707	1.02077732529694e-16	2.47688615697053e-16	Up	strong_weak_anta	cluster_3	cluster_3	cluster_3	cluster_3
AT1G32830	1	0	1	noBinding	noBinding	hda6_triple_common	2.41730435538178	2.32003403621936	2.36601580574461	2.13214413377626	3.04829809882379	2.72568117927294	3.63576425681752	2.47117965498242	83.05085	86.1066	86.75565	89.4854	48.2111	35.91365	52.09285	36.1484	8.58087	5.550965	9.889225	4.362115	1.21791271734029	2.17327863296109	6.10013067230183	6.01756733878276	1	11891180	11894820	2000	-	anta	-0.872802582101727	0.359577363183537	0.23897168507981	0.296227885432716	0.678032830012608	0.304884125644006	1.33030227720249	3.05575	3.70480000000001	6.43455	-12.29745	3.88175	-12.0627	-3.029905	1.308355	-4.218755	5.35537547063569	6.83947198053643e-16	2.13733499391763e-15	Up	1.21207162011166	0.642477472335131	1	No	5.45826459810154	9.73406476014904e-17	2.368909565523e-16	Up	strong_weak_anta	cluster_1	cluster_2	cluster_1	cluster_2
AT1G33130	0	0	1	Binding	noBinding	hda6_ldl1_2_specific	2.33440809444598	2.06477423159304	2.75542280300119	2.15480029039279	3.49720996427348	2.87971458708098	4.46479240661607	2.71265520373291	86.8906	91.58675	89.72465	93.19405	53.9399	49.548	55.3242	46.37375	12.4103	13.5053	11.72135	9.813855	1.82541620346498	2.38110895302656	8.0888702950453	1.20174326183854	1	12016650	12018654	2000	-	strong_syn	6.33143428364517	0.227642637744458	-0.117146639444148	0.736143784106666	0.889453895067062	0.195147085642178	1.92388471445226	4.69615000000002	2.83405000000002	6.30345000000001	-4.39189999999999	1.38430000000001	-7.56614999999999	1.095	-0.68895	-2.596445	-0.778404686303566	1	1	No	0.663904637157538	1	1	No	6.5807920683134	6.63609828437102e-08	1.07138573084268e-07	Up	0_0_1	cluster_1	cluster_1	cluster_1	cluster_1
AT1G33450	0	0	1	noBinding	noBinding	hda6_ldl1_2_specific	3.41711055952246	2.84094254191175	5.92502622037395	2.99674033791951	3.87499855541532	3.99038765180274	5.98925370069883	3.26242113011109	86.275	90.175	84.525	83.275	51.77585	39.65065	47.95225	26.5862	16.90835	12.5064	15.96075	6.4548	0	3.07142403869846	8.64779050662673	3.33272360488632	1	12139227	12139780	2000	+	strong_syn	2.24364286304195	0.4716192298036	-0.179528797549523	3.09727263339414	0.669443309586947	0.792912122714467	2.86256559353698	3.90000000000001	-1.75	-3	-12.1252	-3.8236	-25.18965	-4.40195	-0.947599999999998	-10.45355	2.90982287258032	0.328669543409535	0.381367613660853	No	2.41607060185866	0.800000000000001	1	No	8.26483854717998	2.40625084407282e-15	5.56066371529434e-15	Up	0_0_1	cluster_1	cluster_1	cluster_1	cluster_1
AT1G33460	1	0	1	noBinding	noBinding	hda6_triple_common	2.73901528910872	2.43499911103167	4.03375775605021	2.00605920084796	2.96729405382121	2.99611572944937	4.72346845847614	2.62686545725623	87.92595	90.70185	90.8493	90.8538	54.625	48.5443	54.1737	39.2384	12.22965	11.538	12.988	6.818465	0.90894763489753	0	7.93555124064547	3.23581214740747	1	12140011	12142760	2000	-	strong_syn	5.60868672813553	0.911651661236447	0.546819745677979	2.34945090867038	0.397780874882453	0.430775414877375	2.29550902855373	2.77589999999998	2.92334999999999	2.92784999999999	-6.08070000000001	-0.45130000000001	-15.3866	-0.691649999999999	0.75835	-5.411185	2.87823018838067	0.0114604754410942	0.0162455193108294	Up	-1.82034005690467	1	1	No	7.7222948352278	1.52178746947965e-30	5.89424724094229e-30	Up	1_0_1	cluster_1	cluster_1	cluster_1	cluster_1
