#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
3	15250630	15251025	AT3G43303	0.0	+	15250630	15251025	0	1	395	15250629	cluster_1
5	9183055	9187480	AT5G26236	0.0	+	9183055	9187480	0	1	4425	9183046	cluster_1
3	15251803	15260553	AT3G43304	0.0	+	15251803	15260553	0	1	8750	15251802	cluster_1
2	5987052	5993186	AT2G14180	0.0	+	5987052	5993186	0	1	6134	5987047	cluster_1
5	15492042	15497246	AT5G38705	0.0	-	15492042	15497246	0	1	5204	15492041	cluster_1
3	23111283	23111873	AT3G62480	0.0	-	23111283	23111873	0	1	590	23111281	cluster_1
4	6531382	6535751	AT4G10580	0.0	-	6531382	6535751	0	1	4369	6531376	cluster_1
5	13405610	13407178	AT5G35148	0.0	+	13405610	13407178	0	1	1568	13405609	cluster_1
5	9566763	9567176	AT5G27180	0.0	-	9566763	9567176	0	1	413	9566754	cluster_1
1	13828269	13828477	AT1G36605	0.0	-	13828269	13828477	0	1	208	13828268	cluster_1
3	16335174	16340018	AT3G44796	0.0	+	16335174	16340018	0	1	4844	16335173	cluster_1
5	14830453	14830960	AT5G37385	0.0	+	14830453	14830960	0	1	507	14830452	cluster_1
3	14799890	14801814	AT3G42716	0.0	+	14799890	14801814	0	1	1924	14799889	cluster_1
5	9892138	9896776	AT5G27885	0.0	-	9892138	9896776	0	1	4638	9892129	cluster_1
1	19337048	19339384	AT1G52010	0.0	+	19337048	19339384	0	1	2336	19337047	cluster_1
4	5398502	5401591	AT4G08490	0.0	-	5398502	5401591	0	1	3089	5398497	cluster_1
5	17896964	17900821	AT5G44416	0.0	-	17896964	17900821	0	1	3857	17896963	cluster_1
3	14795811	14798513	AT3G42715	0.0	+	14795811	14798513	0	1	2702	14795810	cluster_1
3	15246180	15250302	AT3G43302	0.0	+	15246180	15250302	0	1	4122	15246179	cluster_1
1	16630704	16635864	AT1G43883	0.0	-	16630704	16635864	0	1	5160	16630703	cluster_1
3	17430152	17432359	AT3G47310	0.0	+	17430152	17432359	0	1	2207	17430151	cluster_1
3	14815118	14820859	AT3G42717	0.0	+	14815118	14820859	0	1	5741	14815117	cluster_1
3	17433459	17433966	AT3G47320	0.0	+	17433459	17433966	0	1	507	17433458	cluster_1
3	15718055	15720790	AT3G43864	0.0	-	15718055	15720790	0	1	2735	15718054	cluster_1
5	13404008	13404991	AT5G35146	0.0	+	13404008	13404991	0	1	983	13404007	cluster_1
1	13594514	13597863	AT1G36210	0.0	+	13594514	13597863	0	1	3349	13594513	cluster_1
5	12523691	12529391	AT5G33256	0.0	-	12523691	12529391	0	1	5700	12523690	cluster_1
1	16628310	16629945	AT1G43880	0.0	+	16628310	16629945	0	1	1635	16628309	cluster_1
1	15493688	15499345	AT1G41710	0.0	+	15493688	15499345	0	1	5657	15493687	cluster_1
