Row.names	Chromosome	Start	End	lengths	Direction	C_6	C_7	C_7_2	L12_6	L12_7	L12a_6	L12a_7	a_6	a_7	C_mean	L12_mean	L12a_mean	a_mean	logFC	PValue	FDR	DETE
AT1G03420	1	846664	847739	1075	+	9172.47061300172	9988.43196796415	9137.3605155034	9416.00167676714	9995.5162194684	4955.07621245643	5057.020017695	6124.22546699447	5983.39271407011	9432.75436548976	9705.75894811777	5006.04811507571	6053.80909053229	-0.639818883021781	0.000334461103824403	0.000561976396446299	No
AT1G06740	1	2070737	2073535	2798	+	825.019694164439	760.276382310784	783.870454343993	739.310982584705	822.701248963794	398.421613350719	349.321835062445	517.499157629347	486.981140733061	789.722176939739	781.006115774249	373.871724206582	502.240149181204	-0.652636940581823	0.00140513353604824	0.00221228085351107	No
AT1G08105	1	2531695	2534786	3091	-	0	0	0	2.64518067789823	0	27.1622785747197	35.2795336923613	0	0	0	1.32259033894911	31.2209061335405	0	0	1	1	No
AT1G08735	1	2790290	2793641	3351	+	6.84308461131134	25.9106732404652	4.32021086509715	19.5195547010049	7.77661895779022	0	0	0	0	12.3579895722912	13.6480868293975	0	0	-5.75651463911384	0.00771131382862507	0.0111026769783869	Down
AT1G08740	1	2795643	2800081	4438	-	5.16700687978916	6.52145606345192	0	5.52698522445927	3.91459367996921	270.108669948123	386.776170641703	31.6875766858708	16.9314795321874	3.8961543144137	4.72078945221424	328.442420294913	24.3095281090291	2.59161042782989	7.96441477251183e-05	0.000142221692366283	Up
AT1G10160	1	3328971	3333470	4499	+	666.001422593294	603.096980084456	658.046664042752	568.830259567684	623.635058990907	329.688520630237	366.270757834088	538.331163133626	488.809317713998	642.381688906834	596.232659279296	347.979639232163	513.570240423812	-0.322795544657553	0.104327117144182	0.130408896430227	No
AT1G11150	1	3728971	3731624	2653	+	1313.81034034702	1311.83648573477	1074.99971427112	967.713377787559	1201.63565734548	566.123679481838	724.649137860845	814.748197187478	787.389744197123	1233.54884678431	1084.67451756652	645.386408671342	801.0689706923	-0.622546251012778	0.00988742076614547	0.014088293837772	No
AT1G11265	1	3781235	3785293	4058	+	71.5775183370432	114.114231679052	94.5394788410361	66.4899863695547	89.9044607653451	45.9770018479047	47.7735233089485	80.8613649846609	54.3164756236126	93.4104096190438	78.1972235674499	46.8752625784266	67.5889203041368	-0.468921765836346	0.201509756179365	0.242694231894855	No
AT1G12720	1	4331062	4333220	2158	+	0	0	3.35426937185833	7.57762138589752	0	274.501662816812	209.616111077231	72.4073037441533	48.7482245733952	1.11808979061944	3.78881069294876	242.058886947022	60.5777641587742	5.34231919787681	1.96723082585192e-10	5.16867971760456e-10	Up
AT1G12725	1	4333383	4334033	650	-	0	0	0	0	0	272.686061267473	142.913270016583	96.1568993722355	215.792140778229	0	0	207.799665642028	155.974520075233	7.03122649935783	3.5233443449028e-08	8.02972122802434e-08	Up
AT1G13660	1	4683171	4685640	2469	+	12.3835164209555	11.7222446373429	20.5223139454402	13.2462591743757	28.1457541542379	11.3350348419682	29.4448599009285	25.3146960680247	12.1736583497526	14.8760250012462	20.6960066643068	20.3899473714484	18.7441772088887	0.320452246837262	0.642734154576077	0.697704838849031	No
AT1G15300	1	5265726	5268602	2876	-	419.926505810811	430.208619927116	354.87843391179	406.538333442221	447.009575669697	429.783453383008	398.829740053536	507.086105868882	604.409861818618	401.671186549906	426.773954555959	414.306596718272	555.74798384375	0.468683260057649	0.0341282572162783	0.0455595666722162	No
AT1G16620	1	5679819	5681188	1369	+	0	15.8558557393716	5.28744580311926	5.97242766645977	0	85.17835714883	53.1039876518572	7.60920192256551	18.2960570157896	7.04776718083029	2.98621383322988	69.1411724003436	12.9526294691775	0.815310173639842	0.55653935789789	0.609754276581353	No
AT1G16660	1	5692024	5696458	4434	+	0	3.26366959963911	0	1.84399040942341	0	94.675916863395	107.484142400345	850.463028953805	942.239508955782	1.08788986654637	0.921995204711707	101.08002963187	896.351268954793	9.44803632463789	1.72141061736023e-81	2.67955426287206e-80	Up
